iter	Passed	Remaining
905	27189	2821
906	27225	2791
907	27261	2762
908	27293	2732
909	27329	2702
910	27363	2673
911	27396	2643
912	27430	2613
913	27462	2583
914	27494	2554
915	27523	2524
916	27552	2493
917	27585	2464
918	27613	2433
919	27646	2404
920	27683	2374
921	27714	2344
922	27747	2314
923	27781	2285
924	27816	2255
925	27850	2225
926	27880	2195
927	27911	2165
928	27942	2135
929	27972	2105
930	28000	2075
931	28029	2045
932	28058	2014
933	28089	1984
934	28120	1954
935	28149	1924
936	28179	1894
937	28209	1864
938	28246	1834
939	28269	1804
940	28300	1774
941	28334	1744
942	28366	1714
943	28399	1684
944	28431	1654
945	28466	1624
946	28502	1595
947	28534	1565
948	28566	1535
949	28599	1505
950	28630	1475
951	28661	1445
952	28693	1415
953	28748	1386
954	28785	1356
955	28817	1326
956	28851	1296
957	28885	1266
958	28922	1236
959	28960	1206
960	28995	1176
961	29031	1146
962	29066	1116
963	29103	1086
964	29141	1056
965	29178	1026
966	29213	996
967	29250	966
968	29285	936
969	29318	906
970	29355	876
971	29388	846
972	29426	816
973	29456	786
974	29487	756
975	29522	725
976	29555	695
977	29587	665
978	29618	635
979	29650	605
980	29683	574
981	29723	544
982	29758	514
983	29792	484
984	29826	454
985	29864	424
986	29902	393
987	29946	363
988	29981	333
989	30016	303
990	30048	272
991	30081	242
992	30113	212
993	30145	181
994	30176	151
995	30205	121
996	30236	90
997	30267	60
998	30297	30
999	30325	0
